Title,H index,impact factor
Nature Nanotechnology,263,37.49
Nano Energy,85,13.12
Materials Horizons,38,13.183
Progress in Quantum Electronics,54,10.733
Automatica,221,6.126
IEEE Communications Surveys and Tutorials,120,20.23
IEEE Transactions on Automatic Control,245,5.007
ACS Photonics,37,6.88
IEEE Transactions on Cybernetics,60,8.803
Nano Research,87,7.994
Nanophotonics,31,6.014
IEEE Transactions on Power Systems,205,5.255
IEEE Transactions on Geoscience and Remote Sensing,197,4.662
International Journal of Robotics Research,128,4.047
IEEE Communications Magazine,199,9.27
IEEE Transactions on Power Electronics,205,6.812
Journal of Power Sources,249,6.945
IEEE Transactions on Industrial Electronics,217,7.05
Energy and Buildings,132,4.457
International Journal of Robust and Nonlinear Control,85,3.856
Energy,146,4.968
IEEE Industrial Electronics Magazine,49,10.429
IEEE Transactions on Medical Imaging,187,6.131
IEEE Wireless Communications,129,9.202
IEEE Transactions on Control Systems Technology,127,4.883
IEEE Transactions on Robotics,121,4.264
IEEE Transactions on Power Delivery,152,3.35
Polymer Reviews,76,6.69
IEEE Signal Processing Magazine,146,7.451
IEEE Geoscience and Remote Sensing Magazine,13,4.932
IEEE Journal on Selected Areas in Communications,207,7.172
IEEE Journal of Solid-State Circuits,188,4.075
IEEE Journal of Emerging and Selected Topics in Power Electronics,35,5.177
IEEE Transactions on Industrial Informatics,85,5.43
Nano-Micro Letters,27,7.381
Critical Reviews in Solid State and Materials Sciences,46,5.656
IEEE Geoscience and Remote Sensing Letters,80,2.892
Nonlinear Dynamics,85,4.339
IEEE Transactions on Reliability,82,2.729
IET Control Theory and Applications,91,3.296
Proceedings of the IEEE,241,9.107
IEEE Transactions on Energy Conversion,146,3.767
IEEE Electron Device Letters,130,3.433
IEEE Transactions on Antennas and Propagation,162,4.13
IEEE Transactions on Automation Science and Engineering,62,3.667
Telematics and Informatics,42,3.789
IEEE Transactions on Signal Processing,220,4.203
IEEE Transactions on Wireless Communications,177,5.888
IEEE Journal of Photovoltaics,43,3.075
Journal of the Energy Institute,29,4.217
Smart Materials and Structures,124,2.963
Beilstein Journal of Nanotechnology,39,2.968
ISA Transactions,54,3.37
IEEE Transactions on Terahertz Science and Technology,39,2.955
Nanotechnology,171,3.404
Control Engineering Practice,99,2.616
Electric Power Systems Research,95,2.856
IEEE Antennas and Wireless Propagation Letters,89,3.448
IEEE Transactions on Industry Applications,165,2.743
Optics and Lasers in Engineering,69,3.388
IEEE Journal of the Electron Devices Society,17,2.696
IEEE Transactions on Communications,182,4.671
IEEE Transactions on Microwave Theory and Techniques,167,3.176
IEEE Journal of Biomedical and Health Informatics,94,3.85
IEEE Transactions on Circuits and Systems for Video Technology,151,3.558
IEEE Photonics Technology Letters,139,2.446
IEEE Transactions on Multimedia,101,3.977
IEEE Transactions on Broadcasting,68,3.909
Signal Processing,105,3.47
IEEE Transactions on Instrumentation and Measurement,93,2.794
International Journal of Adaptive Control and Signal Processing,56,2.082
IEEE Photonics Journal,52,2.627
Engineering Applications of Artificial Intelligence,82,2.819
IEEE Transactions on Biomedical Circuits and Systems,53,3.5
IEEE Transactions on Professional Communication,37,0.756
IEEE Transactions on Electron Devices,158,2.62
IEEE Transactions on Mobile Computing,116,4.098
IET Power Electronics,49,2.267
IEEE Transactions on Dependable and Secure Computing,56,4.41
Mechatronics,74,2.423
Telecommunications Policy,57,2.087
Telecommunications Policy,57,2.087
International Journal of Computer Integrated Manufacturing,44,1.995
Semiconductor Science and Technology,94,2.28
Remote Sensing Letters,26,1.524
IEEE Transactions on Vehicular Technology,136,4.432
Vehicular Communications,15,3.289
Optics and Laser Technology,57,2.503
Journal of Microelectromechanical Systems,125,2.475
IEEE Transactions on Engineering Management,80,1.416
IEEE Transactions on Engineering Management,80,1.416
IEEE Signal Processing Letters,112,2.813
IEEE Microwave and Wireless Components Letters,108,2.169
Applied Optics,170,1.791
Quantum Information Processing,38,2.283
IEEE Transactions on Electromagnetic Compatibility,80,1.52
IEEE Journal of Oceanic Engineering,83,2.065
Diamond and Related Materials,98,2.232
IEEE Wireless Communications Letters,37,3.096
Energies,56,2.676
International Journal of Mobile Communications,37,1.742
International Journal of Precision Engineering and Manufacturing,36,1.661
Journal of Solid State Electrochemistry,69,2.509
IEEE Journal of Quantum Electronics,115,2.069
IEEE Transactions on Network and Service Management,31,3.286
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,30,3.218
IEEE Sensors Journal,89,2.617
Optics Communications,115,1.887
Image and Vision Computing,111,2.159
IEEE Transactions on Aerospace and Electronic Systems,121,2.063
Microelectronic Engineering,85,2.02
IEEE Systems Journal,46,4.337
Optical Materials,89,2.32
Smart Structures and Systems,33,2.231
IEEE Communications Letters,122,2.723
Experimental Heat Transfer,27,1.687
Sensors,114,2.475
Superlattices and Microstructures,60,2.099
IEEE Transactions on Nanotechnology,69,2.857
IEEE Transactions on Nanobioscience,53,2.158
IEEE Transactions on Nuclear Science,106,1.44
Journal of Micromechanics and Microengineering,115,1.888
IET Electric Power Applications,84,2.211
Radio Science,68,1.418
IEEE Circuits and Systems Magazine,43,3.933
IEEE Transactions on Consumer Electronics,88,1.802
Optical Fiber Technology,50,1.35
Journal of Visual Communication and Image Representation,62,1.836
Quantum Electronics,39,1.151
Laser and Particle Beams,48,1.272
Journal of X-Ray Science and Technology,27,1.381
IEEE Transactions on Computational Intelligence and AI in Games,32,0.897
Micromachines,22,2.222
Solid-State Electronics,82,1.666
IEEE Antennas and Propagation Magazine,73,3.007
Flow Measurement and Instrumentation,46,1.407
IEEE Transactions on Magnetics,116,1.467
IEEE Transactions on Education,57,1.6
IEEE Microwave Magazine,60,2.962
Journal of Electrostatics,66,1.398
Journal of the Society for Information Display,43,1.102
Journal of Electronic Materials,83,1.566
IEEE Transactions on Dielectrics and Electrical Insulation,96,1.774
International Transactions on Electrical Energy Systems,33,1.619
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,92,1.744
Optimization and Engineering,31,1.352
IEEE Transactions on Device and Materials Reliability,60,1.512
Journal of Electroceramics,64,1.238
IET Nanobiotechnology,28,2.059
IEEE Micro,84,1.913
Biochip Journal,15,1.4
Eurasip Journal on Image and Video Processing,28,1.737
IEEE Transactions on Applied Superconductivity,69,1.288
Electronics Letters,134,1.232
Chinese Optics Letters,29,1.948
